timestamp,job_id,task_id,cpu_rate,mem_usage,duration
1,job_0,0,912,1343,25
1,job_1,1,618,1577,27
2,job_2,2,1308,2703,20
6,job_3,3,356,402,17
12,job_4,4,577,667,7
16,job_5,5,351,547,17
22,job_6,6,229,395,14
23,job_7,7,1427,1423,17
28,job_8,8,323,644,17
36,job_9,9,151,428,13
37,job_10,10,1125,1281,16
38,job_11,11,1256,1517,33
43,job_12,12,445,589,14
45,job_13,13,1161,1893,34
51,job_14,14,132,587,9
59,job_15,15,350,571,16
62,job_16,16,176,310,5
64,job_17,17,1511,2733,30
74,job_18,18,238,582,6
82,job_19,19,350,719,16
84,job_20,20,1251,2150,47
85,job_21,21,1314,1922,25
87,job_22,22,1103,1491,38
94,job_23,23,174,571,19
101,job_24,24,424,644,12
105,job_25,25,390,606,5
115,job_26,26,262,391,15
117,job_27,27,167,366,13
126,job_28,28,414,367,6
129,job_29,29,237,468,8
131,job_30,30,1288,1842,13
131,job_31,31,1167,1854,21
132,job_32,32,1194,2545,43
135,job_33,33,250,464,8
140,job_34,34,407,515,5
142,job_35,35,281,667,14
143,job_36,36,1192,3076,23
150,job_37,37,199,658,16
151,job_38,38,891,3359,24
153,job_39,39,1339,2545,28
153,job_40,40,1557,2402,15
154,job_41,41,848,2186,10
154,job_42,42,795,2220,35
160,job_43,43,402,569,20
160,job_44,44,1408,1579,42
166,job_45,45,237,575,12
168,job_46,46,1792,1489,16
168,job_47,47,2202,1634,41
170,job_48,48,1180,2024,34
174,job_49,49,202,570,13
176,job_50,50,780,3277,34
186,job_51,51,153,515,16
186,job_52,52,1597,2257,46
186,job_53,53,1535,2101,30
189,job_54,54,179,505,8
189,job_55,55,1050,2421,28
190,job_56,56,1213,1743,19
192,job_57,57,1383,3320,29
195,job_58,58,239,505,7
204,job_59,59,214,563,10
204,job_60,60,1717,2160,40
207,job_61,61,238,680,12
209,job_62,62,949,2656,11
209,job_63,63,1814,2597,29
210,job_64,64,1655,1247,48
211,job_65,65,584,2716,37
219,job_66,66,259,329,11
220,job_67,67,574,2480,20
225,job_68,68,370,593,11
226,job_69,69,1016,1512,18
233,job_70,70,229,552,9
235,job_71,71,686,1790,46
244,job_72,72,305,572,11
253,job_73,73,248,344,10
253,job_74,74,837,1912,42
255,job_75,75,1332,2703,36
257,job_76,76,526,1735,47
259,job_77,77,1734,2318,29
262,job_78,78,408,545,20
263,job_79,79,1301,1611,21
265,job_80,80,1728,1132,19
265,job_81,81,1750,2582,48
265,job_82,82,1510,2359,36
267,job_83,83,853,1698,28
267,job_84,84,1201,2994,32
269,job_85,85,955,2000,31
276,job_86,86,383,627,6
277,job_87,87,914,2727,10
279,job_88,88,961,2034,27
282,job_89,89,360,524,14
282,job_90,90,955,1750,11
286,job_91,91,340,414,8
288,job_92,92,1869,2717,26
293,job_93,93,349,422,16
302,job_94,94,267,512,7
306,job_95,95,396,545,17
308,job_96,96,1733,3008,47
310,job_97,97,1051,1848,13
311,job_98,98,1838,2054,37
311,job_99,99,1305,1865,29
313,job_100,100,218,511,7
321,job_101,101,255,626,13
331,job_102,102,270,448,10
333,job_103,103,1448,1783,37
333,job_104,104,764,2017,26
334,job_105,105,1024,1681,30
335,job_106,106,724,381,46
335,job_107,107,1565,1874,39
336,job_108,108,837,2531,15
337,job_109,109,1127,2264,44
337,job_110,110,1067,1546,25
344,job_111,111,504,534,19
344,job_112,112,1394,1595,34
346,job_113,113,1437,2041,20
354,job_114,114,232,531,10
356,job_115,115,261,340,18
357,job_116,116,889,2102,12
363,job_117,117,444,548,13
365,job_118,118,247,641,6
373,job_119,119,444,526,17
380,job_120,120,368,486,6
381,job_121,121,1269,1614,27
383,job_122,122,1756,2470,26
383,job_123,123,1409,1951,35
383,job_124,124,773,1715,13
384,job_125,125,828,2535,17
391,job_126,126,187,655,8
395,job_127,127,278,671,11
395,job_128,128,1127,1512,26
397,job_129,129,271,375,9
399,job_130,130,239,459,7
400,job_131,131,1664,2088,28
402,job_132,132,1520,1561,19
402,job_133,133,1200,1753,48
403,job_134,134,1472,1759,29
403,job_135,135,898,2211,18
408,job_136,136,282,511,5
409,job_137,137,1290,2370,15
418,job_138,138,184,406,11
425,job_139,139,253,372,16
427,job_140,140,179,507,17
429,job_141,141,322,438,9
435,job_142,142,189,611,13
445,job_143,143,425,369,20
451,job_144,144,260,532,11
453,job_145,145,864,1196,13
462,job_146,146,172,559,18
470,job_147,147,311,432,15
472,job_148,148,1070,2185,47
473,job_149,149,1244,1673,33
474,job_150,150,1246,1319,21
475,job_151,151,1497,1796,49
476,job_152,152,1242,1919,49
478,job_153,153,934,2374,22
481,job_154,154,310,428,20
481,job_155,155,1287,1879,36
490,job_156,156,354,590,17
492,job_157,157,1171,1824,12
494,job_158,158,1323,1816,38
495,job_159,159,1217,2813,37
496,job_160,160,1195,2650,42
496,job_161,161,1256,2773,40
496,job_162,162,1261,594,18
496,job_163,163,1718,2282,21
498,job_164,164,1733,1399,39
500,job_165,165,880,1684,26
501,job_166,166,733,3119,25
511,job_167,167,391,387,6
513,job_168,168,1427,2341,40
514,job_169,169,1423,2102,18
515,job_170,170,1437,2033,23
516,job_171,171,1002,1383,18
517,job_172,172,958,1773,34
519,job_173,173,1008,1439,26
520,job_174,174,828,2410,40
520,job_175,175,1329,2118,42
520,job_176,176,1175,1653,47
530,job_177,177,208,438,16
531,job_178,178,1686,2212,30
533,job_179,179,600,1801,13
535,job_180,180,1555,1544,14
535,job_181,181,1073,2737,19
540,job_182,182,430,590,13
541,job_183,183,1042,2279,49
541,job_184,184,1242,2268,43
542,job_185,185,1153,1581,15
549,job_186,186,302,645,7
551,job_187,187,1579,1682,42
551,job_188,188,617,2162,49
553,job_189,189,353,546,7
555,job_190,190,1448,1591,32
557,job_191,191,1454,1656,33
558,job_192,192,788,1784,36
560,job_193,193,1251,2441,15
561,job_194,194,1029,2484,42
563,job_195,195,1379,2391,31
565,job_196,196,1033,2377,34
565,job_197,197,1294,2240,26
566,job_198,198,685,1879,14
567,job_199,199,1314,2861,46
567,job_200,200,1339,2097,35
568,job_201,201,1525,1697,25
572,job_202,202,386,515,18
573,job_203,203,1613,2231,47
579,job_204,204,431,509,15
581,job_205,205,264,358,12
582,job_206,206,1496,1085,25
585,job_207,207,262,605,13
593,job_208,208,368,791,15
594,job_209,209,984,2093,17
594,job_210,210,887,1900,33
600,job_211,211,247,401,7
610,job_212,212,168,506,9
610,job_213,213,1273,2127,49
620,job_214,214,436,582,15
622,job_215,215,263,514,10
631,job_216,216,384,487,7
633,job_217,217,1578,2279,34
634,job_218,218,1214,2255,38
635,job_219,219,1317,1984,47
639,job_220,220,296,556,5
648,job_221,221,100,401,14
649,job_222,222,1491,1675,32
649,job_223,223,938,2306,45
651,job_224,224,614,1291,36
653,job_225,225,1316,1958,49
653,job_226,226,909,2013,49
654,job_227,227,1348,1708,21
655,job_228,228,1273,1483,48
657,job_229,229,1254,3430,31
659,job_230,230,1329,1659,17
661,job_231,231,1612,2022,26
663,job_232,232,1219,1815,42
668,job_233,233,255,478,13
669,job_234,234,1080,2584,44
669,job_235,235,560,1953,44
673,job_236,236,304,245,5
681,job_237,237,424,514,12
687,job_238,238,366,399,6
688,job_239,239,1068,1902,13
697,job_240,240,337,592,13
699,job_241,241,1074,1933,26
700,job_242,242,1581,1900,49
701,job_243,243,949,1791,11
704,job_244,244,371,541,8
706,job_245,245,1558,2112,35
709,job_246,246,169,451,7
711,job_247,247,1248,1751,36
711,job_248,248,836,772,32
712,job_249,249,1083,1591,30
713,job_250,250,1557,2664,48
714,job_251,251,1282,1435,17
717,job_252,252,447,465,20
718,job_253,253,1163,1753,20
719,job_254,254,1199,1600,46
720,job_255,255,1665,2058,42
725,job_256,256,462,417,9
732,job_257,257,220,627,11
732,job_258,258,1016,2413,26
740,job_259,259,348,697,20
740,job_260,260,1084,1774,23
741,job_261,261,1121,1404,12
743,job_262,262,564,1651,32
744,job_263,263,732,2777,13
745,job_264,264,1664,2174,25
747,job_265,265,769,1985,24
749,job_266,266,477,387,10
749,job_267,267,1465,2892,21
750,job_268,268,855,2798,50
752,job_269,269,1507,2154,44
752,job_270,270,1659,1882,43
754,job_271,271,1846,2176,44
756,job_272,272,646,2712,50
761,job_273,273,156,649,7
766,job_274,274,141,501,18
766,job_275,275,785,1047,40
767,job_276,276,1520,941,20
767,job_277,277,605,2027,50
777,job_278,278,343,396,20
777,job_279,279,1355,2042,25
778,job_280,280,1391,2338,30
779,job_281,281,1570,1832,47
786,job_282,282,130,367,10
790,job_283,283,395,481,7
792,job_284,284,874,2649,24
794,job_285,285,297,429,8
804,job_286,286,232,267,7
809,job_287,287,466,530,19
813,job_288,288,184,515,10
815,job_289,289,1488,1298,25
817,job_290,290,993,2578,45
817,job_291,291,1211,1815,18
818,job_292,292,1008,1851,15
827,job_293,293,382,448,14
829,job_294,294,1221,1661,18
831,job_295,295,1240,1422,25
839,job_296,296,357,679,10
841,job_297,297,1166,1733,23
843,job_298,298,861,2069,24
845,job_299,299,269,729,18
846,job_300,300,1720,2931,10
846,job_301,301,1156,2211,10
848,job_302,302,773,2639,39
849,job_303,303,1823,2494,30
850,job_304,304,979,2044,36
850,job_305,305,837,1891,43
850,job_306,306,1048,2485,36
857,job_307,307,239,580,11
859,job_308,308,1455,1799,32
861,job_309,309,1146,2596,46
863,job_310,310,1303,2323,11
863,job_311,311,923,2223,12
864,job_312,312,1237,2517,19
866,job_313,313,980,982,25
866,job_314,314,1215,1912,26
867,job_315,315,981,1544,24
868,job_316,316,823,2542,39
870,job_317,317,1005,2525,30
880,job_318,318,157,516,12
881,job_319,319,1746,3111,48
